SystemName,SNAKE VALLEY
StationName,PIVOT PUMP FROM FOOTE RESERVOIR
Units,Mean daily discharge in CFS
DateStart,2014
DateEnd,2024
Date,Flow
03/06/2014,0.0102950310559
03/07/2014,0.005178571428571
03/08/2014,0.009033576896312
03/09/2014,0.008927760307477
03/10/2014,0.01775113556953
03/11/2014,0
03/12/2014,0.01844619262865
03/13/2014,0
03/14/2014,0
03/15/2014,0.01126484975542
03/16/2014,0
03/17/2014,0.02186325678497
03/18/2014,0
03/19/2014,0.009822299651568
03/20/2014,0.009381144662921
03/21/2014,0.009490465360392
03/22/2014,0.009193506267409
03/23/2014,0
03/24/2014,8.690308988764E-04
03/25/2014,0
03/26/2014,0
03/27/2014,0.009733828671329
03/28/2014,0
03/29/2014,0
03/30/2014,0.02100174825175
03/31/2014,0
04/01/2014,0
04/02/2014,0
04/03/2014,0
04/04/2014,0
04/05/2014,0.009554009103641
04/06/2014,0.00914879707113
04/07/2014,0
04/08/2014,0.01470629370629
04/09/2014,0.01691315789474
04/10/2014,0
04/11/2014,0
04/12/2014,0
04/13/2014,0.009632147838215
04/14/2014,0
04/15/2014,0.6838083333333
04/16/2014,1.827820591323
04/17/2014,1.814676120448
04/18/2014,1.833863120196
04/19/2014,1.866354895105
04/20/2014,1.857370810056
04/21/2014,1.854168417367
04/22/2014,1.500929654812
04/23/2014,0.6691225626741
04/24/2014,1.833810314685
04/25/2014,1.832537534916
04/26/2014,1.85572880321
04/27/2014,1.869248517097
04/28/2014,1.861209087744
04/30/2014,1.807390603208
05/01/2014,1.842515350877
05/02/2014,1.866904181185
05/03/2014,1.845483449477
05/04/2014,1.801154283217
05/05/2014,1.818081761006
05/07/2014,1.855383725071
05/08/2014,1.807097746331
05/09/2014,1.802398589833
05/10/2014,1.857604239358
05/11/2014,1.870214011181
05/12/2014,1.816956236897
05/13/2014,1.791704347067
05/14/2014,1.545341107617
05/15/2014,1.78751482903
05/16/2014,1.765480267733
05/17/2014,1.784065338924
05/18/2014,1.776358164689
05/19/2014,1.78291957432
05/20/2014,1.793840845563
05/21/2014,1.773544867318
